archetype_key,zh,pinyin,category,en,es,ja,ko,th,vi,basis,status
calendar:zeri:tiande,天德,tiāndé,择日,Heavenly Virtue,Virtud Celestial,天德貴人,천덕귀인,เทียนเต๋อกุยเหริน,Thiên Đức Quý Nhân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:zeri:baihu,白虎,báihǔ,择日,White Tiger,Tigre Blanco,白虎,백호,ไป๋หู,Bạch Hổ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:zeri:yutang,玉堂,yùtáng,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:tianlao,天牢,tiānláo,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:xuanwu,玄武,xuánwǔ,择日,Xuanwu,Xuanwu,玄武,현무,เสวียนอู่,Huyền Vũ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
calendar:zeri:siming,司命,sīmìng,择日,—,—,—,—,—,—,,tier2_pending
calendar:zeri:gouchen,勾陈,gōuchén,择日,Gouchen,Gouchen,勾陳,구진,โกวเฉิน,Câu Trần,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
fengshui:sanyuan:yiyunkan,一运坎,yīyùnkǎn,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:eryunkun,二运坤,èryùnkūn,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:sanyunzhen,三运震,sānyùnzhèn,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:siyunxun,四运巽,sìyùnxùn,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:wuyunzhong,五运中,wǔyùnzhōng,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:liuyunqian,六运乾,liùyùnqián,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:qiyundui,七运兑,qīyùnduì,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:bayungen,八运艮,bāyùngèn,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:sanyuan:jiuyunli,九运离,jiǔyùnlí,三元九运,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:zishan,子山,zǐshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:guishan,癸山,guǐshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:choushan,丑山,chǒushān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:genshan,艮山,gènshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:yinshan,寅山,yínshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:jiashan,甲山,jiǎshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:maoshan,卯山,mǎoshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:yishan,乙山,yǐshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:chenshan,辰山,chénshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:xunshan,巽山,xùnshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:sishan,巳山,sìshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:bingshan,丙山,bǐngshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:wushan,午山,wǔshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:dingshan,丁山,dīngshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:weishan,未山,wèishān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:kunshan,坤山,kūnshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:shenshan,申山,shēnshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:gengshan,庚山,gēngshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:youshan,酉山,yǒushān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:xinshan,辛山,xīnshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:xushan,戌山,xūshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:qianshan,乾山,qiánshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:haishan,亥山,hàishān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:shan24:renshan,壬山,rénshān,二十四山,—,—,—,—,—,—,,tier2_pending
fengshui:term:xunlong,寻龙,xúnlóng,风水,—,—,—,—,—,—,,tier2_pending
fengshui:term:dianxue,点穴,diǎnxué,风水,—,—,—,—,—,—,,tier2_pending
fengshui:term:chasha,察砂,cháshā,风水,—,—,—,—,—,—,,tier2_pending
fengshui:term:mishui,觅水,mìshuǐ,风水,—,—,—,—,—,—,,tier2_pending
fengshui:term:lixiang,立向,lìxiàng,风水,—,—,—,—,—,—,,tier2_pending
ziwei:palace:xiongdigong,兄弟宫,xiōngdìgōng,十二宫,Siblings Palace,Palacio de los Hermanos,兄弟宮,형제궁,กงพี่น้อง,Huynh Đệ Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:fuqigong,夫妻宫,fūqīgōng,十二宫,Spouse Palace,Palacio del Cónyuge,夫妻宮,부처궁,กงคู่สมรส,Phu Thê Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:zinugong,子女宫,zǐnǚgōng,十二宫,Children Palace,Palacio de los Hijos,子女宮,자녀궁,กงบุตร,Tử Tức Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:caibogong,财帛宫,cáibógōng,十二宫,Wealth Palace,Palacio de la Riqueza,財帛宮,재백궁,กงทรัพย์,Tài Bạch Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:jiegong,疾厄宫,jíègōng,十二宫,Health Palace,Palacio de la Salud,疾厄宮,질액궁,กงสุขภาพ,Tật Ách Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:qianyigong,迁移宫,qiānyígōng,十二宫,Travel Palace,Palacio de los Viajes,遷移宮,천이궁,กงการเดินทาง,Thiên Di Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:jiaoyougong,交友宫,jiāoyǒugōng,十二宫,Friends Palace,Palacio de los Amigos,交友宮,교우궁,กงมิตร,Nô Bộc Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:guanlugong,官禄宫,guānlùgōng,十二宫,Career Palace,Palacio de la Carrera,官祿宮,관록궁,กงอาชีพ,Quan Lộc Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:tianzhaigong,田宅宫,tiánzháigōng,十二宫,Property Palace,Palacio de la Propiedad,田宅宮,전택궁,กงทรัพย์สิน,Điền Trạch Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:fudegong,福德宫,fúdégōng,十二宫,Fortune Palace,Palacio de la Fortuna,福德宮,복덕궁,กงโชคดวง,Phúc Đức Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
ziwei:palace:fumugong,父母宫,fùmǔgōng,十二宫,Parents Palace,Palacio de los Padres,父母宮,부모궁,กงบิดามารดา,Phụ Mẫu Cung,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:changsheng,长生,chángshēng,十二长生,Changsheng (Birth),Changsheng (Nacimiento),長生,장생,ฉางเชิง,Trường Sinh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:muyu,沐浴,mùyù,十二长生,Muyu (Bath),Muyu (Baño),沐浴,목욕,มู่ยู่,Mục Dục,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:guandai,冠带,guāndài,十二长生,Guandai (Cap & Belt),Guandai (Gorra y cinturón),冠帯,관대,กวนต้าย,Quan Đới,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:linguan,临官,línguān,十二长生,Linguan (Arrival),Linguan (Llegada),臨官,임관,หลินกวน,Lâm Quan,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:diwang,帝旺,dìwàng,十二长生,Diwang (Peak),Diwang (Apogeo),帝旺,제왕,ตี้หวาง,Đế Vượng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:shuai,衰,shuāi,十二长生,Shuai (Decline),Shuai (Declive),衰,쇠,ซุย,Suy,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:bing,病,bìng,十二长生,Bing (Sickness),Bing (Enfermedad),病,병,ปิ้ง,Bệnh,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:si,死,sǐ,十二长生,Si (Death),Si (Muerte),死,사,ซื่อ,Tử,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:mu,墓,mù,十二长生,Mu (Tomb),Mu (Tumba),墓,묘,หมู่,Mộ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:jue,绝,jué,十二长生,Jue (Extinction),Jue (Extinción),絶,절,เจวี๋ย,Tuyệt,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:tai,胎,tāi,十二长生,Tai (Womb),Tai (Útero),胎,태,ไท่,Thai,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
bazi:changsheng:yang,养,yǎng,十二长生,Yang (Nurture),Yang (Nutrición),養,양,หยาง,Dưỡng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
fengshui:jiugong:yibaikan,一白坎,yībáikǎn,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:erheikun,二黑坤,èrhēikūn,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:sanbizhen,三碧震,sānbìzhèn,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:siluxun,四绿巽,sìlǜxùn,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:wuhuangzhong,五黄中,wǔhuángzhōng,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:liubaiqian,六白乾,liùbáiqián,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:qichidui,七赤兑,qīchìduì,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:babaigen,八白艮,bābáigèn,九宫,—,—,—,—,—,—,,tier2_pending
fengshui:jiugong:jiuzili,九紫离,jiǔzǐlí,九宫,—,—,—,—,—,—,,tier2_pending
yijing:bagua:qian,乾,qián,八卦,Qian,Qian,乾,건,เชียน,Càn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
yijing:bagua:dui,兑,duì,八卦,Dui,Dui,兌,태,ตุ้ย,Đoài,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
yijing:bagua:li,离,lí,八卦,Li,Li,離,리,ลี่,Ly,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
yijing:bagua:zhen,震,zhèn,八卦,Zhen,Zhen,震,진,เจิ้น,Chấn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
yijing:bagua:xun,巽,xùn,八卦,Xun,Xun,巽,손,ซวิ้น,Tốn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
yijing:bagua:kan,坎,kǎn,八卦,Kan,Kan,坎,감,คั่น,Khảm,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
yijing:bagua:gen,艮,gèn,八卦,Gen,Gen,艮,간,เกิ้น,Cấn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
yijing:bagua:kun,坤,kūn,八卦,Kun,Kun,坤,곤,คุน,Khôn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_filled
astrology:xiu28:jiaoxiu,角宿,jiǎoxiù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:kangxiu,亢宿,kàngxiù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:dixiu,氐宿,dīxiù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:fangxiu,房宿,fángxiù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:xinxiu,心宿,xīnxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:weixiu,尾宿,wěixìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:jixiu,箕宿,jīxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:douxiu,斗宿,dǒuxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:niuxiu,牛宿,niúxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:nuxiu,女宿,nǚxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:xuxiu,虚宿,xūxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:weixiu_2,危宿,wēixìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:shixiu,室宿,shìxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:bixiu,壁宿,bìxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:kuixiu,奎宿,kuíxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:louxiu,娄宿,lóuxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:weixiu_3,胃宿,wèixìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:maoxiu,昴宿,mǎoxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:bixiu_2,毕宿,bìxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:zixiu,觜宿,zīxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:shenxiu,参宿,shēnxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:jingxiu,井宿,jǐngxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:guixiu,鬼宿,guǐxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:liuxiu,柳宿,liǔxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:xingxiu,星宿,xīngxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:zhangxiu,张宿,zhāngxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:yixiu,翼宿,yìxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
astrology:xiu28:zhenxiu,轸宿,zhěnxìù,二十八宿,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiazi,甲子,jiǎzǐ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:yichou,乙丑,yǐchǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:bingyin,丙寅,bǐngyín,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:dingmao,丁卯,dīngmǎo,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:wuchen,戊辰,wùchén,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jisi,己巳,jǐsì,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:gengwu,庚午,gēngwǔ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:xinwei,辛未,xīnwèi,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:renshen,壬申,rénshēn,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:guiyou,癸酉,guǐyǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiaxu,甲戌,jiǎxū,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:yihai,乙亥,yǐhài,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:bingzi,丙子,bǐngzǐ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:dingchou,丁丑,dīngchǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:wuyin,戊寅,wùyín,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jimao,己卯,jǐmǎo,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:gengchen,庚辰,gēngchén,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:xinsi,辛巳,xīnsì,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:renwu,壬午,rénwǔ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:guiwei,癸未,guǐwèi,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiashen,甲申,jiǎshēn,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:yiyou,乙酉,yǐyǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:bingxu,丙戌,bǐngxū,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:dinghai,丁亥,dīnghài,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:wuzi,戊子,wùzǐ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jichou,己丑,jǐchǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:gengyin,庚寅,gēngyín,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:xinmao,辛卯,xīnmǎo,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:renchen,壬辰,rénchén,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:guisi,癸巳,guǐsì,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiawu,甲午,jiǎwǔ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:yiwei,乙未,yǐwèi,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:bingshen,丙申,bǐngshēn,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:dingyou,丁酉,dīngyǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:wuxu,戊戌,wùxū,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jihai,己亥,jǐhài,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:gengzi,庚子,gēngzǐ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:xinchou,辛丑,xīnchǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:renyin,壬寅,rényín,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:guimao,癸卯,guǐmǎo,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiachen,甲辰,jiǎchén,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:yisi,乙巳,yǐsì,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:bingwu,丙午,bǐngwǔ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:dingwei,丁未,dīngwèi,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:wushen,戊申,wùshēn,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiyou,己酉,jǐyǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:gengxu,庚戌,gēngxū,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:xinhai,辛亥,xīnhài,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:renzi,壬子,rénzǐ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:guichou,癸丑,guǐchǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiayin,甲寅,jiǎyín,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:yimao,乙卯,yǐmǎo,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:bingchen,丙辰,bǐngchén,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:dingsi,丁巳,dīngsì,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:wuwu,戊午,wùwǔ,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:jiwei,己未,jǐwèi,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:gengshen,庚申,gēngshēn,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:xinyou,辛酉,xīnyǒu,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:renxu,壬戌,rénxū,纳音,—,—,—,—,—,—,,tier2_pending
bazi:nayin:guihai,癸亥,guǐhài,纳音,—,—,—,—,—,—,,tier2_pending
yijing:gua:qianweitian,乾为天,qiánwéitiān,六十四卦,Qian,Qian,乾,건,—,Càn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:kunweidi,坤为地,kūnwéidì,六十四卦,Kun,Kun,坤,곤,—,Khôn,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:shuileitun,水雷屯,shuǐléitún,六十四卦,Zhun,Zhun,屯,준,—,Truần,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:shanshuimeng,山水蒙,shānshuǐméng,六十四卦,Meng,Meng,蒙,몽,—,Mông,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:shuitianxu,水天需,shuǐtiānxū,六十四卦,Xu,Xu,需,수,—,Tu,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:tianshuisong,天水讼,tiānshuǐsòng,六十四卦,Song,Song,訟,송,—,Tụng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:dishuishi,地水师,dìshuǐshī,六十四卦,Shi,Shi,師,사,—,Sư,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:shuidibi,水地比,shuǐdìbǐ,六十四卦,Bi,Bi,比,비,—,Tỷ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:fengtianxiaoxu,风天小畜,fēngtiānxiǎoxù,六十四卦,Xiao Chu,Xiao Chu,小畜,소축,—,Tiểu Súc,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:tianzelu,天泽履,tiānzélǚ,六十四卦,Lv,Lv,履,리,—,Lý,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:ditiantai,地天泰,dìtiāntài,六十四卦,Tai,Tai,泰,태,—,Thái,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:tiandipi,天地否,tiāndìpǐ,六十四卦,Fou,Fou,否,부,—,U,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:tianhuotongren,天火同人,tiānhuǒtóngrén,六十四卦,Tong Ren,Tong Ren,同人,동인,—,Đồng Nhân,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:huotiandayou,火天大有,huǒtiāndàyǒu,六十四卦,Da You,Da You,大有,대유,—,Đại Hữu,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:dishanqian,地山谦,dìshānqiān,六十四卦,Qian (Modesty),Qian (Modesty),謙,겸,—,Khiêm,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:leidiyu,雷地豫,léidìyù,六十四卦,Yu,Yu,豫,예,—,Dự,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:zeleisui,泽雷随,zéléisuí,六十四卦,Sui,Sui,隨,수,—,Tùy,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:shanfenggu,山风蛊,shānfēnggǔ,六十四卦,Gu,Gu,蠱,고,—,Cổ,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:dizelin,地泽临,dìzélín,六十四卦,Lin,Lin,臨,임,—,Lâm,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:fengdiguan,风地观,fēngdìguān,六十四卦,Guan,Guan,觀,관,—,Quan,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:huoleishike,火雷噬嗑,huǒléishìkè,六十四卦,Shi Ke,Shi Ke,噬嗑,섭합,—,Thế Hiệp,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:shanhuobi,山火贲,shānhuǒbì,六十四卦,Bi (Adornment),Bi (Adornment),賁,비,—,Bí,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:shandibo,山地剥,shāndìbō,六十四卦,Bo,Bo,剝,박,—,Bác,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:dileifu,地雷复,dìléifù,六十四卦,Fu,Fu,復,복,—,Phục,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
yijing:gua:tianleiwuwang,天雷无妄,tiānléiwúwàng,六十四卦,Wu Wang,Wu Wang,無妄,무망,—,Vô Vọng,Sino-xenic 定读(ja/ko/vi)+pinyin 通行(en/es)+th 音译或意译；待母语复核,tier1_partial
